caldt,vwretd
19750829,0.005751
19750902,-0.016089
19750903,0.006535
19750904,0.002198
19750905,-0.006766
19750908,0.003478
19750909,-0.014960
19750910,-0.009451
19750911,-0.004060
19750912,-0.001903
19750915,-0.004671
19750916,-0.009414
19750917,0.003573
19750918,0.020565
19750919,0.021833
19750922,-0.009475
19750923,-0.001205
19750924,0.009719
19750925,-0.001097
19750926,0.006503
19750929,-0.013395
19750930,-0.013621
19751001,-0.011262
19751002,0.010872
19751003,0.025646
19751006,0.011073
19751007,-0.001248
19751008,0.013632
19751009,0.004843
19751010,-0.001766
19751013,0.014346
19751014,-0.001978
19751015,-0.000641
19751016,0.001528
19751017,-0.005621
19751020,0.011097
19751021,0.008296
19751022,0.001687
19751023,0.005836
19751024,-0.015548
19751027,-0.000750
19751028,0.009100
19751029,-0.012262
19751030,-0.000863
19751031,-0.002250
19751103,-0.010193
19751104,0.004823
19751105,0.008397
19751106,0.005050
19751107,-0.001988
19751110,0.000228
19751111,0.006014
19751112,0.014824
19751113,-0.001664
19751114,-0.000773
19751117,0.006118
19751118,-0.004928
19751119,-0.011072
19751120,-0.003904
19751121,-0.001043
19751124,0.003546
19751125,0.011217
19751126,0.002582
19751128,0.003123
19751201,-0.006109
19751202,-0.014772
19751203,-0.019416
19751204,0.002906
19751205,-0.011743
19751208,0.002907
19751209,0.002941
19751210,0.009214
19751211,-0.002951
19751212,0.000169
19751215,0.003225
19751216,0.009717
19751217,0.002403
19751218,0.002986
19751219,-0.007119
19751222,-0.007496
19751223,0.006722
19751224,0.008237
19751226,0.009038
19751229,-0.001476
19751230,-0.003961
19751231,0.004688
19760102,0.007784
19760105,0.018647
19760106,0.010391
19760107,0.004768
19760108,0.006872
19760109,0.003944
19760112,0.014484
19760113,-0.007862
19760114,0.016537
19760115,-0.005314
19760116,0.004003
19760119,0.013960
19760120,0.005694
19760121,-0.006283
19760122,-0.002017
19760123,0.012068
19760126,0.004988
19760127,-0.006008
19760128,-0.005294
19760129,0.016389
19760130,0.006688
19760202,0.000889
19760203,0.003915
19760204,0.007336
19760205,-0.013812
19760206,-0.008725
19760209,0.001609
19760210,0.008298
19760211,0.003422
19760212,-0.005340
19760213,-0.005152
19760217,-0.006114
19760218,0.007847
19760219,0.015987
19760220,0.007015
19760223,-0.004301
19760224,0.004701
19760225,-0.002594
19760226,-0.015485
19760227,-0.004774
19760301,0.004052
19760302,0.005303
19760303,-0.005965
19760304,-0.009918
19760305,0.001723
19760308,0.010893
19760309,0.003696
19760310,0.004095
19760311,0.009362
19760312,-0.009891
19760315,-0.010509
19760316,0.011655
19760317,-0.001303
19760318,-0.003640
19760319,0.001440
19760322,0.000947
19760323,0.015373
19760324,0.011723
19760325,-0.005993
19760326,0.000591
19760329,-0.004264
19760330,-0.004275
19760331,0.007619
19760401,-0.004659
19760402,0.000156
19760405,0.012465
19760406,-0.000999
19760407,-0.011745
19760408,-0.009171
19760409,-0.008897
19760412,-0.001782
19760413,0.008524
19760414,-0.007265
19760415,0.003489
19760419,0.007268
19760420,0.014903
19760421,0.003963
19760422,-0.002879
19760423,-0.006623
19760426,0.001221
19760427,-0.005112
19760428,0.002636
19760429,-0.000319
19760430,-0.004314
19760503,-0.007041
19760504,0.006561
19760505,-0.005403
19760506,0.003262
19760507,0.007796
19760510,0.013060
19760511,-0.001269
19760512,-0.001694
19760513,-0.005729
19760514,-0.008333
19760517,-0.002084
19760518,0.001580
19760519,-0.000069
19760520,0.007348
19760521,-0.006525
19760524,-0.017068
19760525,0.000791
19760526,-0.001121
19760527,0.000347
19760528,0.007908
19760601,-0.002623
19760602,0.003441
19760603,-0.000786
19760604,-0.009525
19760607,-0.004963
19760608,0.001960
19760609,-0.000410
19760610,0.008719
19760611,0.013231
19760614,0.010677
19760615,-0.004990
19760616,0.005409
19760617,0.016002
19760618,0.001257
19760621,0.004917
19760622,-0.007276
19760623,-0.001949
19760624,0.005544
19760625,-0.000913
19760628,-0.002633
19760629,0.003877
19760630,0.004657
19760701,-0.006649
19760702,0.004927
19760706,-0.005659
19760707,0.002661
19760708,0.001823
19760709,0.009634
19760712,0.008494
19760713,-0.002086
19760714,0.002161
19760715,-0.006801
19760716,-0.004791
19760719,-0.002911
19760720,-0.005852
19760721,0.000566
19760722,0.001466
19760723,0.001279
19760726,0.000019
19760727,-0.005249
19760728,-0.003546
19760729,-0.001376
19760730,0.004898
19760802,-0.001526
19760803,0.009993
19760804,0.002254
19760805,-0.004772
19760806,0.000110
19760809,-0.001777
19760810,0.008888
19760811,-0.002806
19760812,0.001198
19760813,0.000683
19760816,0.001911
19760817,0.003660
19760818,-0.001916
19760819,-0.011236
19760820,-0.009645
19760823,-0.003489
19760824,-0.006996
19760825,0.009047
19760826,-0.007083
19760827,0.001628
19760830,0.006065
19760831,0.007898
19760901,0.010949
19760902,-0.000816
19760903,0.004003
19760907,0.006885
19760908,-0.001280
19760909,-0.004477
19760910,0.002312
19760913,-0.003213
19760914,-0.002870
19760915,0.002600
19760916,0.009947
19760917,0.009671
19760920,0.000557
19760921,0.013879
19760922,-0.003380
19760923,-0.004825
19760924,-0.001087
19760927,0.004194
19760928,-0.011753
19760929,-0.005505
19760930,-0.001249
19761001,-0.009813
19761004,-0.001565
19761005,-0.007287
19761006,-0.003320
19761007,0.006352
19761008,-0.009504
19761011,-0.008763
19761012,-0.008104
19761013,0.012802
19761014,-0.012936
19761015,0.000759
19761018,0.005840
19761019,-0.000227
19761020,0.002551
19761021,-0.009470
19761022,-0.007702
19761025,0.001353
19761026,0.010318
19761027,0.006629
19761028,-0.001061
19761029,0.013550
19761101,0.002570
19761103,-0.011803
19761104,0.006913
19761105,-0.014238
19761108,-0.011839
19761109,-0.002662
19761110,-0.005341
19761111,0.008529
19761112,-0.003623
19761115,0.006407
19761116,0.001928
19761117,0.006270
19761118,0.012754
19761119,0.000645
19761122,0.006473
19761123,-0.005467
19761124,0.004803
19761126,0.007132
19761129,-0.006643
19761130,-0.003329
19761201,0.004158
19761202,-0.003680
19761203,0.006217
19761206,0.008197
19761207,-0.000544
19761208,0.005476
19761209,0.004402
19761210,0.001533
19761213,-0.000276
19761214,0.004552
19761215,0.000326
19761216,-0.003503
19761217,-0.005357
19761220,-0.005654
19761221,0.005802
19761222,0.004481
19761223,0.000793
19761227,0.012204
19761228,0.006876
19761229,-0.004153
19761230,0.005413
19761231,0.005511
19770103,-0.004330
19770104,-0.011820
19770105,-0.008133
19770106,0.001056
19770107,-0.000082
19770110,0.001779
19770111,-0.009875
19770112,-0.007011
19770113,0.007966
19770114,-0.001619
19770117,-0.002662
19770118,-0.003773
19770119,0.004765
19770120,-0.008591
19770121,0.003481
19770124,-0.000361
19770125,-0.001378
19770126,-0.007486
19770127,-0.005501
19770128,0.001194
19770131,0.001888
19770201,0.005190
19770202,-0.001573
19770203,-0.004436
19770204,0.001570
19770207,0.000516
19770208,-0.002903
19770209,-0.008822
19770210,0.001277
19770211,-0.005445
19770214,0.005779
19770215,0.003323
19770216,0.004467
19770217,-0.005773
19770218,-0.003359
19770222,0.000581
19770223,-0.002917
19770224,-0.005421
19770225,-0.001428
19770228,0.003693
19770301,0.008932
19770302,-0.002772
19770303,0.005130
19770304,0.003254
19770307,0.001081
19770308,-0.004006
19770309,-0.007588
19770310,0.005564
19770311,0.000297
19770314,0.007845
19770315,0.005299
19770316,0.001951
19770317,-0.000723
19770318,-0.002411
19770321,-0.005262
19770322,-0.002205
19770323,-0.008675
19770324,-0.004847
19770325,-0.006732
19770328,-0.000237
19770329,0.006831
19770330,-0.012053
19770331,-0.000886
19770401,0.008459
19770404,-0.010048
19770405,-0.002098
19770406,-0.001044
19770407,0.004207
19770411,0.005751
19770412,0.012990
19770413,-0.000129
19770414,0.008457
19770415,0.000184
19770418,-0.004863
19770419,-0.004272
19770420,0.003297
19770421,-0.006898
19770422,-0.013492
19770425,-0.013466
19770426,0.000321
19770427,0.008933
19770428,0.002343
19770429,0.002511
19770502,0.006017
19770503,0.004924
19770504,0.006243
19770505,0.002713
19770506,-0.005378
19770509,-0.002269
19770510,0.003275
19770511,-0.006917
19770512,-0.000339
19770513,0.003181
19770516,0.004625
19770517,0.003880
19770518,0.005168
19770519,-0.004253
19770520,-0.004268
19770523,-0.012341
19770524,-0.003826
19770525,-0.008930
19770526,0.002416
19770527,-0.007366
19770531,-0.001634
19770601,0.008786
19770602,-0.001765
19770603,0.010011
19770606,-0.004580
19770607,0.005376
19770608,0.005166
19770609,-0.000529
19770610,0.002825
19770613,0.003800
19770614,0.011326
19770615,-0.002641
19770616,0.002845
19770617,0.000972
19770620,0.004672
19770621,0.003270
19770622,-0.002820
19770623,0.001588
19770624,0.005686
19770627,-0.001554
19770628,-0.008546
19770629,-0.000363
19770630,0.003535
19770701,-0.003457
19770705,0.000090
19770706,-0.005260
19770707,0.003626
19770708,-0.001403
19770711,-0.002568
19770712,-0.000817
19770713,0.001316
19770715,0.007046
19770718,0.007061
19770719,0.007888
19770720,-0.000096
19770721,-0.001335
19770722,-0.000208
19770725,-0.007535
19770726,-0.005205
19770727,-0.016533
19770728,0.001226
19770729,0.000867
19770801,0.004208
19770802,-0.006218
19770803,-0.000822
19770804,0.005547
19770805,-0.000574
19770808,-0.006642
19770809,0.001302
