"","PERMNO","YEAR","RET-bji","RET-yxia"
"314","10020","1988"," 5.142033e-01",-0.17096738071798
"315","10020","1989"," 2.802410e+05",-0.0480413737396506
"316","10020","1990"," 2.297096e-01",-0.123216617327181
"317","10020","1990","-1.851982e-02",-0.123216617327181
"318","10020","1992","-1.042530e-01",0.621788461886249
"319","10020","1993"," 2.264595e-01",0.050984970393861
"320","10020","1994"," 3.398140e+05",NA
"321","10021","1987","-2.982448e-01",-0.425000312847336
"322","10021","1988","-5.964907e-01",0.0869559917456064
"323","10021","1989"," 6.161250e+03",-0.439999379055699
"324","10021","1990"," 7.142900e-02",-0.571428318640857
"325","10021","1990","-7.543865e-01",-0.571428318640857
"326","10021","1992","-5.999996e-01",-0.366666884911162
"327","10021","1993","-5.999997e-01",-0.53947346038196
"328","10021","1994"," 1.626233e+03",9.74285672454882
"329","10021","1995"," 2.041723e+03",-0.617021549474487
"330","10021","1996"," 2.709439e+03",NA
"331","10022","1926"," 1.089287e+00",0.0204574797664772
"332","10022","1927"," 9.452163e-01",0.322848690552578
"333","10022","1928"," 1.117839e+00",0.326337778811458
"334","10022","1929"," 1.423587e+00",-0.138477354951578
"335","10022","1930"," 1.291047e+00",0.0765132635336141
"336","10022","1931"," 1.400038e+00",-0.538151940192763
"337","10022","1932"," 6.237567e-01",0.127338923449248
"338","10022","1933"," 6.856120e-01",0.894645233886474
"339","10022","1934"," 1.334653e+00",0.84933854120393
"340","10022","1935"," 2.445908e+00",0.302672547813566
"341","10022","1936","-1.098945e-02",0.134512242690177
"342","10022","1937"," 1.888842e-01",-0.484249016116806
"343","10022","1938","-3.509499e-01",0.0487089343152842
"344","10022","1939","-3.689862e-01",-0.183240477527253
"345","10022","1940","-4.816479e-01",-0.410744548509206
"346","10022","1941","-6.762337e-01",-0.175044302386769
"347","10022","1942","-7.287815e-01",1.26796318174314
"348","10022","1943","-4.571005e-01",0.604932988641111
"349","10022","1944","-7.846634e-02",0.451411101614108
"350","10022","1945"," 2.778005e-01",1.14390474774486
"351","10022","1946"," 2.383664e-02",0.278083770285259
"352","10022","1947"," 2.461587e-01",-0.205228497595354
"353","10022","1948"," 3.421519e-02",-0.360505597733748
"354","10022","1949","-3.431554e-01",0.317374969404013
"355","10022","1950","-1.546704e-01",0.0156252474778253
"356","10022","1951","-1.120639e-01",-0.0189717252705313
