caldt,vwretd
03/11/1975,-0.006571
03/12/1975,-0.009336
03/13/1975,0.001852
03/14/1975,0.012282
03/17/1975,0.015345
03/18/1975,-0.010294
03/19/1975,-0.009248
03/20/1975,-0.008842
03/21/1975,-0.002558
03/24/1975,-0.023246
03/25/1975,0.007959
03/26/1975,0.018613
03/27/1975,0.003110
03/31/1975,-0.005763
04/01/1975,-0.008785
04/02/1975,-0.002619
04/03/1975,-0.011186
04/04/1975,-0.007365
04/07/1975,-0.006512
04/08/1975,0.007898
04/09/1975,0.023101
04/10/1975,0.011278
04/11/1975,0.004899
04/14/1975,0.017173
04/15/1975,0.008283
04/16/1975,0.003467
04/17/1975,0.007365
04/18/1975,-0.010865
04/21/1975,0.010883
04/22/1975,-0.001585
04/23/1975,-0.011159
04/24/1975,-0.000771
04/25/1975,0.006864
04/28/1975,-0.004159
04/29/1975,-0.006507
04/30/1975,0.019835
05/01/1975,0.009412
05/02/1975,0.012837
05/05/1975,0.010372
05/06/1975,-0.015164
05/07/1975,0.005025
05/08/1975,0.005968
05/09/1975,0.011501
05/12/1975,0.001206
05/13/1975,0.010838
05/14/1975,0.007794
05/15/1975,-0.009400
05/16/1975,-0.010739
05/19/1975,0.001415
05/20/1975,-0.005088
05/21/1975,-0.011121
05/22/1975,0.004242
05/23/1975,0.013902
05/27/1975,-0.001280
05/28/1975,-0.007079
05/29/1975,-0.000157
05/30/1975,0.016470
06/02/1975,0.016065
06/03/1975,0.003411
06/04/1975,-0.002863
06/05/1975,0.000968
06/06/1975,-0.002326
06/09/1975,-0.013468
06/10/1975,-0.008195
06/11/1975,0.001199
06/12/1975,-0.005292
06/13/1975,0.004741
06/16/1975,0.010453
06/17/1975,-0.009396
06/18/1975,-0.002039
06/19/1975,0.018317
06/20/1975,0.006371
06/23/1975,0.011102
06/24/1975,0.006278
06/25/1975,0.004561
06/26/1975,0.001810
06/27/1975,0.000056
06/30/1975,0.004189
07/01/1975,-0.003597
07/02/1975,-0.007058
07/03/1975,0.002090
07/07/1975,-0.008546
07/08/1975,-0.001550
07/09/1975,0.015023
07/10/1975,-0.000027
07/11/1975,-0.001565
07/14/1975,0.005867
07/15/1975,0.004560
07/16/1975,-0.010385
07/17/1975,-0.010311
